epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,578.113,1.6612,2.74563,1.45935,0.69788,0.80531,0.78607,0.56958,0.97523,1.14355,1.06337,0.000175206,0.000175206,0.000175206
2,1140.43,1.60711,1.44703,1.41089,0.70106,0.78755,0.75582,0.54202,0.98314,1.16894,1.07567,0.000333188,0.000333188,0.000333188
3,1754.3,1.60049,1.35268,1.39926,0.70596,0.85183,0.77273,0.57316,0.92807,0.98186,1.05863,0.000473812,0.000473812,0.000473812
4,2321.86,1.54069,1.24545,1.36478,0.73543,0.85952,0.80098,0.59948,0.89301,0.91663,1.0224,0.000447889,0.000447889,0.000447889
5,2861.03,1.47174,1.12524,1.32062,0.74435,0.87441,0.81138,0.60811,0.90431,0.90488,1.02807,0.000421852,0.000421852,0.000421852
6,3529.21,1.43227,1.05653,1.29125,0.74293,0.90389,0.8182,0.62237,0.86101,0.8407,1.00161,0.000395815,0.000395815,0.000395815
7,4217.67,1.38517,0.99498,1.26652,0.74453,0.90051,0.82537,0.63103,0.82724,0.79276,0.98714,0.000369778,0.000369778,0.000369778
8,4909.18,1.35464,0.95335,1.24641,0.7623,0.88933,0.84202,0.64916,0.83288,0.7764,0.9882,0.000343741,0.000343741,0.000343741
9,5609.76,1.31749,0.90997,1.22481,0.77212,0.91045,0.85259,0.66273,0.80709,0.74449,0.9735,0.000317704,0.000317704,0.000317704
10,6304.7,1.28001,0.87376,1.20244,0.76842,0.91203,0.86247,0.68049,0.79429,0.72563,0.96246,0.000291667,0.000291667,0.000291667
11,6948.59,1.24691,0.73759,1.21565,0.78716,0.89453,0.87199,0.68871,0.79445,0.71119,0.95938,0.00026563,0.00026563,0.00026563
12,7576.6,1.18704,0.69372,1.18,0.7905,0.90434,0.85585,0.67811,0.78044,0.68906,0.95773,0.000239593,0.000239593,0.000239593
13,8199.84,1.16009,0.66499,1.16022,0.78233,0.9141,0.85541,0.6777,0.77682,0.69418,0.95268,0.000213556,0.000213556,0.000213556
14,8845.86,1.12264,0.63183,1.1432,0.78888,0.91169,0.87081,0.6976,0.75442,0.68779,0.94513,0.000187519,0.000187519,0.000187519
15,9478.71,1.09616,0.60645,1.12761,0.80016,0.92222,0.88072,0.70663,0.74842,0.66107,0.94002,0.000161482,0.000161482,0.000161482
16,10102.7,1.07263,0.58565,1.11436,0.80687,0.91672,0.87985,0.70895,0.74449,0.6564,0.93876,0.000135445,0.000135445,0.000135445
17,10736.2,1.04736,0.56767,1.10031,0.8066,0.92052,0.88844,0.71779,0.73706,0.65901,0.93966,0.000109408,0.000109408,0.000109408
18,11365.1,1.02397,0.54247,1.08847,0.80787,0.91974,0.88351,0.71591,0.73227,0.65095,0.93536,8.3371e-05,8.3371e-05,8.3371e-05
19,11995.1,0.99823,0.52739,1.07395,0.8055,0.91595,0.89083,0.7233,0.72904,0.63675,0.92952,5.7334e-05,5.7334e-05,5.7334e-05
20,12629.7,0.98165,0.51217,1.0671,0.80999,0.91893,0.89109,0.72277,0.73077,0.63675,0.9326,3.1297e-05,3.1297e-05,3.1297e-05
